System,Domain,Organization,Country,Publication date,Citations,Parameters,DatasetSize,Epochs,Training time (hours),Model accessibility
Named Entity Recognition model,Language,Carnegie Mellon University (CMU),United States of America,29/5/16,3100,,204567,50,8,
Gated HORNN (3rd order),Language,York University,Canada,30/4/16,77,8970000,,,,Unreleased
Symmetric Residual Encoder-Decoder Net,"Vision,Image generation","Nanjing University,University of Adelaide","China,Australia",30/3/16,1184,,,,,
Binarized Neural Network (MNIST),Vision,"Technion - Israel Institute of Technology,Columbia University,University of Montreal / Université de Montréal","Israel,United States of America,Canada",17/3/16,3299,37000000,60000,1000,,
SqueezeNet,Vision,"DeepScale,UC Berkeley,Stanford University","United States of America,United States of America,United States of America",24/2/16,6892,1200000,,,,
Inceptionv4,Vision,Google,United States of America,23/2/16,13047,43000000,,,,
Inception-ResNet-V2,Vision,Google,United States of America,23/2/16,13047,56000000,,,,
A3C FF hs,Games,"Google,University of Montreal / Université de Montréal","United States of America,Canada",4/2/16,8174,,,,,
Convolutional Pose Machines,Vision,Carnegie Mellon University (CMU),United States of America,30/1/16,2641,,,,,
AlphaGo Lee,Games,DeepMind,United Kingdom of Great Britain and Northern Ireland,27/1/16,15882,,29400000,,696,Unreleased
"Variational (untied weights, MC) LSTM (Large)",Language,University of Cambridge,United Kingdom of Great Britain and Northern Ireland,16/12/15,1838,66000000,,16,,Unreleased
Advantage Learning,Games,Google DeepMind,Multinational,15/12/15,149,,,,,
BPL,Image generation,"University of Toronto,New York University (NYU),Massachusetts Institute of Technology (MIT)","Canada,United States of America,United States of America",11/12/15,2862,,,,,
ResNet-152 (ImageNet),Vision,Microsoft,United States of America,10/12/15,172714,60200000,1280000,120,,
ResNet-110 (CIFAR-10),Vision,Microsoft,United States of America,10/12/15,172714,1700000,,,,
SSD,Vision,,,8/12/15,39468,,115000,,,Open access (unrestricted)
DeepSpeech2 (English),Speech,Baidu Research - Silicon Valley AI Lab,United States of America,8/12/15,2841,38000000,163339200,,120,
Inception v3,Vision,"Google,University College London (UCL)","United States of America,United Kingdom of Great Britain and Northern Ireland",2/12/15,25057,23626728,1200000,,,
Netflix Recommender System,Recommendation,Netflix,United States of America,1/12/15,1092,,,,,
Multi-scale Dilated CNN,Vision,"Princeton University,Intel Labs","United States of America,Multinational",23/11/15,7906,,,,,
AlphaGo Fan,Games,DeepMind,United Kingdom of Great Britain and Northern Ireland,1/10/15,15882,8209984,,,,Unreleased
Deep Deterministic Policy Gradients,Robotics,Google DeepMind,Multinational,9/9/15,11930,,,,,
BPE,Language,University of Edinburgh,United Kingdom of Great Britain and Northern Ireland,31/8/15,7139,,37500000,,,
LSTM-Char-Large,Language,"Harvard University,New York University (NYU)","United States of America,United States of America",26/8/15,2033,19000000,,25,,Unreleased
"Listen, Attend and Spell",Speech,"Google,Carnegie Mellon University (CMU)","United States of America,United States of America",20/8/15,2153,,,,,Unreleased
Search-Proven Best LSTM,Language,Google,United States of America,6/7/15,2207,20000000,,30,,Unreleased
BatchNorm,Vision,Google,United States of America,15/6/15,40938,13600000,,,,
YOLO,Vision,"University of Washington,Allen Institute for AI,Facebook AI Research","United States of America,United States of America,United States of America",8/6/15,31783,271684800,,,,
Faster R-CNN,Vision,Microsoft Research,United States of America,4/6/15,55711,,,,,Open access (unrestricted)
Trajectory-pooled conv nets,Video,"Chinese University of Hong Kong (CUHK),Chinese Academy of Sciences","Hong Kong,China",19/5/15,3786,9106245,,,,
Deep LSTM video classifier,Video,"University of Texas at Austin,Google","United States of America,United States of America",1/5/15,2281,,,,,
Fast R-CNN,Vision,Microsoft Research,United States of America,30/4/15,22895,,,,,
genCNN + dyn eval,Language,"Chinese Academy of Sciences,Huawei Noah's Ark Lab,Dublin City University","China,China,Ireland",17/3/15,33,8000000,,,,Unreleased
Constituency-Tree LSTM,Language,"MetaMind Inc,Stanford University","United States of America,United States of America",28/2/15,3040,205190,,,,
DQN-2015,Games,Google,United States of America,25/2/15,25077,1693362,50000000,,,
TRPO,Games,UC Berkeley,United States of America,19/2/15,8305,33500,,,30,Unreleased
CRF-RNN,Vision,"University of Oxford,Stanford University,Baidu","United Kingdom of Great Britain and Northern Ireland,United States of America,China",11/2/15,2661,,,,,
"MSRA (C, PReLU)",Vision,Microsoft Research,United States of America,6/2/15,20078,87048800,1280000,,588,
DeepLab,Vision,"Google,University of California Los Angeles (UCLA)","United States of America,United States of America",22/12/14,4617,,,,,
ADAM (CIFAR-10),Vision,"University of Amsterdam,OpenAI,University of Toronto","Netherlands,United States of America,Canada",22/12/14,139989,,,,,
Fractional Max-Pooling,Vision,University of Warwick,United Kingdom of Great Britain and Northern Ireland,18/12/14,672,27000000,,250,18,
NTM,"Other,Language",Google DeepMind,Multinational,10/12/14,2228,,,,,
SNM-skip,Language,Google,United States of America,3/12/14,14,62000000000,1000000000,,,
Cascaded LNet-ANet,Vision,Chinese University of Hong Kong (CUHK),Hong Kong,28/11/14,7560,,,,,
Fully Convolutional Networks,Vision,UC Berkeley,United States of America,14/11/14,35267,,,,,
SC-NLM,"Multimodal,Vision,Language",University of Toronto,Canada,10/11/14,,,600000,,,
LRCN,Video,"UT Austin,University of Massachusetts Lowell,UC Berkeley","United States of America,United States of America,United States of America",7/11/14,5836,142552000,40000,,,
Spatially-Sparse CNN,Vision,University of Warwick,United Kingdom of Great Britain and Northern Ireland,23/9/14,260,,,,,
Deeply-supervised nets,Vision,Microsoft Research,United States of America,18/9/14,2509,,870000,,,
GoogLeNet / InceptionV1,Vision,"Google,University of Michigan,University of North Carolina","United States of America,United States of America,United States of America",17/9/14,41106,6797700,1200000,,,
Seq2Seq LSTM,Language,Google,United States of America,10/9/14,19454,1920000000,652000000,,240,
Large regularized LSTM,Language,"New York University (NYU),Google Brain","United States of America,United States of America",8/9/14,3224,66000000,,55,,Unreleased
VGG19,Vision,University of Oxford,United Kingdom of Great Britain and Northern Ireland,4/9/14,93036,144000000,1300000,,,
VGG16,Vision,University of Oxford,United Kingdom of Great Britain and Northern Ireland,4/9/14,93036,138000000,1300000,74,504,
RNNsearch-50*,Language,"Jacobs University Bremen,University of Montreal / Université de Montréal","Germany,Canada",1/9/14,25864,,348000000,,,
SmooCT,Games,University College London (UCL),United Kingdom of Great Britain and Northern Ireland,1/7/14,16,,12000000000,,48,
Multiresolution CNN,Video,"Google,Stanford University","United States of America,United States of America",23/6/14,6224,126125568,50000000,,,
DeepFace,Vision,"Tel Aviv University,Facebook","Israel,United States of America",23/6/14,5971,,,,,
RNN-WER,Speech,"DeepMind,University of Toronto","United Kingdom of Great Britain and Northern Ireland,Canada",22/6/14,2805,26500000,1100000,,,
Fragment embedding,Multimodal,Stanford University,United States of America,21/6/14,,144496000,150000,20,,
SPPNet,Vision,"Microsoft,Xi’an Jiaotong University,University of Science and Technology of China","United States of America,China,China",18/6/14,10239,,1280000,,672,
GANs,Image generation,University of Montreal / Université de Montréal,Canada,10/6/14,36870,,60000,,,
Two-stream ConvNets for action recognition,Video,University of Oxford,United Kingdom of Great Britain and Northern Ireland,9/6/14,7169,,,,,
GRUs,Language,"University of Montreal / Université de Montréal,Jacobs University,University of Maine","Canada,Germany,United States of America",3/6/14,21611,,,,,
Dropout: SVHN,Vision,University of Toronto,Canada,1/6/14,37539,47795232,600000,,,Unreleased
AdaRNN,Language,Beihang University,China,1/6/14,,13040,6248,,,
Paragraph Vector,Language,Google,United States of America,14/5/14,,32000000,75000,,,
HyperNEAT,Games,University of Texas at Austin,United States of America,5/3/14,195,239712,,,,
SPN-4+KN5,Language,"Singapore University of Technology & Design,DSO National Laboratories","Singapore,Singapore",1/1/14,102,5000000,,,,Unreleased
GloVe (32B),Language,Stanford University,United States of America,1/1/14,30406,120000000,42000000000,,,
GloVe (6B),Language,Stanford University,United States of America,1/1/14,30406,120000000,6000000000,,,
OverFeat,Vision,New York University (NYU),United States of America,21/12/13,5148,,,,,
Image generation,Vision,University of Amsterdam,Netherlands,20/12/13,21760,,60000,,,
DOT(S)-RNN,Language,"Aalto University,University of Montreal / Université de Montréal","Finland,Canada",20/12/13,1255,6160000,,,,Unreleased
DQN,Games,DeepMind,United Kingdom of Great Britain and Northern Ireland,19/12/13,11118,836096,,,,
Network in Network,Vision,National University of Singapore,Singapore,16/12/13,6015,,,,,
RNN for 1B words,Language,Google,United States of America,11/12/13,1205,20000000000,1000000000,,240,
DBLSTM,Speech,University of Toronto,Canada,8/12/13,1587,29900000,,,,
TransE,Language,"Universite de Technologie de Compiègne – CNRS,Google","France,United States of America",5/12/13,7039,942000000,17000000,,,
DeViSE,Vision,Google,United States of America,5/12/13,,,5400000000,,,
TensorReasoner,Language,Stanford University,United States of America,1/12/13,1915,,,,,
Visualizing CNNs,Vision,New York University (NYU),United States of America,12/11/13,15141,,,,,
R-CNN (T-net),Vision,UC Berkeley,United States of America,11/11/13,24408,69003872,,,,
Word2Vec (small),Language,Google,United States of America,16/10/13,32201,207600000,692000,,,
Word2Vec (large),Language,Google,United States of America,16/10/13,32201,692000000,33000000000,,24,
RNTN,Language,Stanford University,United States of America,1/10/13,,,155063,,5,Unreleased
RCTM,Language,University of Oxford,United Kingdom of Great Britain and Northern Ireland,1/10/13,,,4100000,,15,
Mitosis,"Vision,Medicine",IDSIA,Switzerland,22/9/13,1477,37230,1000000,,24,
RNN+weight noise+dynamic eval,Language,University of Toronto,Canada,4/8/13,4734,54000000,,14,,Unreleased
Fisher Vector image classifier,Vision,"Universidad Nacional de Cordoba,Inteligent Systems Lab Amsterdam,University of Amsterdam,LEAR Team,INRIA,Xerox Research Centre Europe (XRCE)","Argentina,Netherlands,Netherlands,France,France,France",12/6/13,1707,,,,2,
SemVec,Language,Microsoft Research,United States of America,9/6/13,3625,,,,,
ReLU-Speech,Speech,"Google,University of Toronto,New York University (NYU)","United States of America,Canada,United States of America",26/5/13,,101706240,,,168,
Multilingual DNN,Speech,Google,United States of America,26/5/13,,206899200,77580000,,672,
Selective Search,Vision,"University of Trento,University of Amsterdam","Italy,Netherlands",2/4/13,5642,,,,,
PreTrans-3L-250H,Speech,University of Toronto,Canada,22/3/13,8212,43000000,,,,
Maxout Networks,Vision,University of Montreal / Université de Montréal,Canada,18/2/13,2576,,,,,
Textual Imager,Vision,Stanford University,United States of America,16/1/13,1413,,,,,
DistBelief NNLM,Language,Google,United States of America,16/1/13,41000,,6000000000,,336,
DistBelief Vision,Vision,Google,United States of America,3/12/12,,1700000000,16000000,,,
DistBelief Speech,Speech,Google,United States of America,3/12/12,,47185920,1100000000,,120,
Bayesian automated hyperparameter tuning,Other,"University of Toronto,University of Sherbrooke,Harvard University","Canada,Canada,United States of America",2/12/12,7229,,,,,
RNN+LDA+KN5+cache,Language,"Microsoft,Brno University of Technology","United States of America,Czechia",1/12/12,716,9000000,,,,Unreleased
AlexNet,Vision,University of Toronto,Canada,30/9/12,112228,60000000,1200000,,132,
LSTM-300units,Language,RWTH Aachen University,Germany,1/9/12,2503,12000000,,,,Unreleased
Context-dependent RNN,Language,"Microsoft Research,Brno University of Technology","United States of America,Czechia",27/7/12,707,,,,,
Unsupervised High-level Feature Learner,Vision,Google,United States of America,12/7/12,2909,1000000000,10000000,,72,
MV-RNN,Language,Stanford University,United States of America,12/7/12,1459,3510255,,,,
Dropout (TIMIT),Speech,University of Toronto,Canada,3/6/12,7411,48840185,41620,,,Unreleased
Dropout (MNIST),Vision,University of Toronto,Canada,3/6/12,7411,5592010,60000,,,Unreleased
Dropout (ImageNet),Vision,University of Toronto,Canada,3/6/12,7411,,1000000,,96,Unreleased
Dropout (CIFAR),Vision,University of Toronto,Canada,3/6/12,7411,,60000,,1.5,Unreleased
MCDNN (MNIST),Vision,IDSIA,Switzerland,13/2/12,4828,1994300,60000,,,
LSTM LM,Language,RWTH Aachen University,Germany,1/1/12,,102720000,27000000,,,
HOGWILD!,Other,University of Wisconsin Madison,United States of America,11/11/11,2214,,,,,
NLP from scratch,Language,"NEC Laboratories,Princeton University","United States of America,United States of America",8/11/11,7640,5000000,852000000,,72,
Domain Adaptation,Vision,University of Maryland,United States of America,6/11/11,1065,15260,4652,,,
Adaptive Subgrad,Language,"Technion - Israel Institute of Technology,Google,UC Berkeley","Israel,United States of America,United States of America",3/10/11,9985,,,,,
Recursive sentiment autoencoder,Language,Stanford University,United States of America,1/7/11,1477,,,,,
Recursive Neural Network,"Vision,Language",Stanford University,United States of America,28/6/11,,,833333,,,
Vector Space Model,Language,Stanford University,United States of America,19/6/11,,255000,75000,,,
Cross-Lingual POS Tagger,Language,"Carnegie Mellon University (CMU),Google Research","United States of America,Multinational",19/6/11,316,,,,,
RNN-SpeedUp,Language,"Brno University of Technology,Johns Hopkins University","Czechia,United States of America",22/5/11,1573,,697500,,,
Deep rectifier networks,Vision,University of Montreal / Université de Montréal,Canada,13/4/11,7831,,,,,
Optimized Single-layer Net,Vision,"University of Michigan,Stanford University","United States of America,United States of America",11/4/11,3661,,,,,
YouTube Video Recommendation System,Recommendation,Google,United States of America,26/9/10,1150,,10000000000,,,
RNN 500/10 + RT09 LM (NIST RT05),Speech,"Brno University of Technology,Johns Hopkins University","Czechia,United States of America",26/9/10,5763,5269500,5400000,,,
KN5 LM + RNN 400/10 (WSJ),Speech,"Brno University of Technology,Johns Hopkins University","Czechia,United States of America",26/9/10,5763,80000000,6400000,,,
Fisher-Boost,Vision,Xerox Research Centre Europe (XRCE),France,5/9/10,3062,,,,21.5,
ReLU (NORB),Vision,University of Toronto,Canada,15/6/10,16685,16210006,291600,,,
ReLU (LFW),Vision,University of Toronto,Canada,15/6/10,16685,,,,,
Mid-level Features,Vision,"INRIA,Ecole Normale Supèrieure,New York University (NYU)","France,France,United States of America",13/6/10,1314,,,,,
Deconvolutional Network,Vision,New York University (NYU),United States of America,13/6/10,1532,,,,,
Word Representations,Language,"University of Montreal / Université de Montréal,University of Illinois Urbana-Champaign (UIUC)","Canada,United States of America",1/6/10,2510,,37000000,,,
Feedforward NN,Vision,University of Montreal / Université de Montréal,Canada,13/5/10,16565,7082000,,,,
6-layer MLP (MNIST),Vision,"IDSIA,University of Lugano,SUPSI","Switzerland,Switzerland,Switzerland",1/3/10,1264,12110000,60000,,2,
Stacked Denoising Autoencoders,Other,"University of Montreal / Université de Montréal,University of Toronto","Canada,Canada",3/1/10,6882,,,,,
Super-vector coding,Vision,"University of Illinois Urbana-Champaign (UIUC),NEC Laboratories,Rutgers University","United States of America,United States of America,United States of America",1/1/10,696,1025,1000000,,,
RNN LM,Language,Johns Hopkins University,United States of America,1/1/10,5763,,6400000,1,504,
Two Stage Feature Extraction for Object Recognition,Vision,Courant Institute of Mathematical Sciences,United States of America,29/9/09,,233506,60000,33,,Unreleased
3D city reconstruction,3D modeling,"University of Washington,Microsoft Research,Cornell University","United States of America,United States of America,United States of America",29/9/09,2224,,,,,
BellKor 2007,Recommendation,AT&T,United States of America,21/9/09,241,,100480507,,,
MatrixFac for Recommenders,Recommendation,"Yahoo Research,AT&T","United States of America,United States of America",7/8/09,9160,,100480507,,,
Pragmatic Theory solution (Netflix 2009),Recommendation,Pragmatic Theory Inc.,Canada,1/8/09,111,,100480507,,,
BigChaos OptiBlend,Recommendation,AT&T,United States of America,1/8/09,237,,100480507,,,
BellKor 2009,Recommendation,AT&T,United States of America,1/8/09,512,,100480507,,,
BellKor 2008,Recommendation,AT&T,United States of America,1/8/09,162,,100480507,,,
GPU DBNs,Other,Stanford University,United States of America,15/6/09,1032,100000000,1000000,,,
Conv-DBN,Vision,Stanford University,United States of America,14/6/09,2964,,,,,
Deep Boltzmann Machines,Other,University of Toronto,Canada,16/4/09,2666,,,,,
RBM Image Classifier,Vision,University of Toronto,Canada,8/4/09,31348,80000000,2000000,,,
Semantic Hashing,Language,University of Toronto,Canada,10/12/08,1487,2600000,310521,,,
HLBL,Language,University of Toronto,Canada,8/12/08,,1846400,14000000,,,
ADAPTIVE NLPM,Language,University of Toronto,Canada,8/12/08,1297,12198000,14000000,,,Unreleased
BigChaos 2008,Recommendation,AT&T,United States of America,25/11/08,35,,100480507,,,
Sparse digit recognition SVM,Vision,University of Lubeck,Germany,19/11/08,124,,,,,
Boss (DARPA Urban Challenge),Driving,Carnegie Mellon University (CMU),United States of America,23/7/08,1840,,,,,
Semi-Supervised Embedding for DL,Other,"Google,NUANCE Communications,IDIAP,University of Illinois Urbana-Champaign (UIUC)","United States of America,United States of America,Switzerland,United States of America",5/7/08,1087,,,,,
Denoising Autoencoders,Other,University of Montreal / Université de Montréal,Canada,5/7/08,7125,,,,,
Deep Multitask NLP Network,Language,NEC Laboratories,United States of America,5/7/08,7095,1500000,633000000,,168,
Multiscale deformable part model,Vision,"UC Irvine,University of Chicago,Toyota Technological Institute at Chicago","United States of America,United States of America,United States of America",23/6/08,3093,,,,,
BLSTM for handwriting (2),Vision,"University of Bern,IDSIA,Technical University of Munich","Switzerland,Switzerland,Germany",3/12/07,341,100881,,,,
Enhanced Neighborhood-Based Filtering,Recommendation,AT&T,United States of America,28/10/07,687,,,,,
BLSTM for handwriting (1),Vision,"University of Bern,IDSIA,Technical University of Munich","Switzerland,Switzerland,Germany",23/9/07,287,,,,,
Regularized SVD for Collaborative Filtering,Recommendation,Warsaw University,Poland,12/8/07,1117,,100480507,,,
Fisher Kernel GMM,Vision,Xerox,United States of America,16/7/07,1915,,30000,,2.5,
SB-LM,Language,Google,United States of America,22/6/07,,300000000000,1800000000000,,24,
KN-LM,Language,Google,United States of America,22/6/07,,21000000000,31000000000,,48,
Restricted Bolzmann machines,Recommendation,University of Toronto,Canada,20/6/07,2140,,100480507,,,
λ-WASP,Language,UT Austin,United States of America,1/6/07,383,,792,,,
Empirical evaluation of deep architectures,Other,University of Montreal / Université de Montréal,Canada,1/6/07,1142,,,,,
Sparse Energy-Based Model,Vision,New York University (NYU),United States of America,4/12/06,1601,,60000,,,
Greedy layer-wise DNN training,Other,University of Montreal / Université de Montréal,Canada,4/12/06,5605,,,,,
Local Binary Patterns for facial recognition,Vision,"University of Oulu,IEEE","Finland,Multinational",1/12/06,5816,,,,,
Sparse Vision Encoding,Vision,Stanford University,United States of America,1/11/06,3512,,2000,,10,Unreleased
DImensionality Reduction,Vision,University of Toronto,Canada,18/7/06,15697,3800000,70000,,,
Deep Belief Nets,Vision,"University of Toronto,National University of Singapore","Canada,Singapore",18/7/06,16071,1600000,60000,,,
CTC-Trained LSTM,Speech,"IDSIA,Technical University of Munich","Switzerland,Germany",25/6/06,4862,114662,41620,,,
Spatial Pyramid Matching,Vision,"INRIA,University of Illinois Urbana-Champaign (UIUC),Ecole Normale Supèrieure","France,United States of America,France",17/6/06,9807,,,,,
DrLIM,Other,New York University (NYU),United States of America,17/6/06,4820,37097,217470,,,
FAST,Video,University of Cambridge,United Kingdom of Great Britain and Northern Ireland,7/5/06,5419,,,,,
TFE SVM,Vision,"Centre de Recherche en Automatique de Nancy (CRAN),CENPARMI","France,Canada",2/2/06,365,,,,,
Stanley (DARPA Grand Challenge 2),Driving,Stanford University,United States of America,1/1/06,2561,,,,,
Monocular Depth Prediction,Vision,Stanford University,United States of America,5/12/05,1417,1472256,2933137,,,Unreleased
RankNet,Search,"Microsoft Research,Microsoft","United States of America,United States of America",7/8/05,,5711,3464289,22,5.85,Unreleased
BiLSTM for Speech,Speech,"IDSIA,Technical University of Munich","Switzerland,Germany",1/8/05,4281,152061,36960,,,
Histograms of Oriented Gradients,Vision,INRIA,France,25/6/05,36578,,1805,,,
ConvNet similarity metric,Vision,New York University (NYU),United States of America,20/6/05,4015,,140000,,,
Hiero,Language,University of Maryland,United States of America,1/6/05,1487,120000000,171400000,,,
SACHS,Biology,"Massachusetts Institute of Technology (MIT),Stanford University","United States of America,United States of America",22/4/05,1682,178,5400,,,
Hierarchical LM,Language,,,1/1/05,,,1000000,30,13.4,
LMICA,Vision,,,1/12/04,,4096000,100000,,,
Invariant CNN,Vision,New York University (NYU),United States of America,27/6/04,,90575,24300,10,,
Max-Margin Markov Networks,"Vision,Language",Stanford University,United States of America,1/3/04,1764,,600,,,
CNN Best Practices,Vision,Microsoft Research,United States of America,6/8/03,3065,,50000,,,
Unsupervised Scale-Invariant Learning,Vision,University of Oxford,United Kingdom of Great Britain and Northern Ireland,18/6/03,2970,451,3500,,,
Phrase-based translation,Language,University of Southern California,United States of America,1/5/03,4270,9178890,20000000,,,
